source_id,reviewer,structure,notes
17500143,SN,bridge,
1400107,SN,bridge,
5400211,SN,bridge,
21900684,SN,bridge,
21901328,SN,,historic channel
21900764,SN,,historic channel
21900760,SN,,historic channel
21901160,SN,bridge,
21901159,SN,bridge,equivalent to 21901160
2500039,SN,,no road
15300442,SN,,no crossing
15300470,SN,,no structure/road
15300471,SN,,no structure/road
2500038,SN,bridge,
19401338,SN,,no structure
1805530,SN,bridge,
1801088,SN,,no structure
6800547,SN,,no structure
6800523,SN,OBS,
6800313,SN,bridge,
6800207,SN,,no road
6800186,SN,bridge,
6800181,SN,bridge,
6800513,SN,bridge,
6800509,SN,bridge,
6802146,SN,bridge,
2400259,SN,,no road
2400265,SN,,no road
19300295,SN,,no structure
19300546,SN,bridge,
19300993,SN,OBS,
4700107,SN,,no road
4700160,SN,bridge,
11304238,SN,bridge,
11305254,SN,bridge,duplicate road
11303979,SN,bridge,
11301020,SN,,no structure
11303905,SN,,no crossing
24402297,SN,bridge,
24402294,SN,bridge,
19703578,SN,,no crossing
19701104,SN,bridge,
19703054,SN,bridge,
19703431,SN,,no road
12201496,SN,,no structure
12200773,SN,,no structure
12200461,SN,,no road
12200482,SN,,no road
12200481,SN,,no road
